State,Borehole Name,Borehole URI,Latitude,Longitude,Start Depth,EndDepth,File Modified Date,Download Link
SA,DAV 32,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/191098,-26.167885,129.4961291,0,69.9,6/23/2022 4:59:16 AM,https://nvclstore.z8.web.core.windows.net/SA/191098_ DAV_32.zip
SA,RD1605,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/281150,-30.4499883,136.8823349,329.8,770,6/23/2022 5:01:28 AM,https://nvclstore.z8.web.core.windows.net/SA/281150_RD1605.zip
SA,LEVEL 3 8,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/136343,-30.7086891,134.5357275,0,40.5,6/23/2022 5:05:56 AM,https://nvclstore.z8.web.core.windows.net/SA/136343_Tarcoola_L3-8.zip
SA,INL 5,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/131276,-31.6092331,132.906759,6.2,7.7,5/3/2023 9:04:38 PM,https://nvclstore.z8.web.core.windows.net/SA/131278_INL07.zip
SA,NS-4 MT DAVIES,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/189,-26.193285,129.2733641,1.52,44.5,6/23/2022 4:56:30 AM,https://nvclstore.z8.web.core.windows.net/SA/189_NS4.zip
SA,98CDDH0004,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/226814,-29.8725401,133.5896739,384.7,417.7,1/23/2023 2:33:29 AM,https://nvclstore.z8.web.core.windows.net/SA/226814_98CDDH0004.zip
SA,IHAD3,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/262025,-31.0832743,137.1385208,0,1027.5,6/23/2022 5:07:07 AM,https://nvclstore.z8.web.core.windows.net/SA/262025_IHAD_3.zip
SA,S11,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/75571,-34.6659544,139.2854138,138.7,329.9,6/23/2022 4:54:19 AM,https://nvclstore.z8.web.core.windows.net/SA/75571_S11.zip
SA,TWN1,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/312948,-30.5678232,136.8793483,370,700.8,3/5/2023 11:08:57 PM,https://nvclstore.z8.web.core.windows.net/SA/312948_TWN1.zip
SA,MALD 3,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/193682,-33.8759703,137.7438123,84,214.7,6/23/2022 4:59:14 AM,https://nvclstore.z8.web.core.windows.net/SA/193682_ MALD3.zip
SA,EDD 4,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/136226,-30.8683231,134.9941774,0,19.5,6/23/2022 5:06:32 AM,https://nvclstore.z8.web.core.windows.net/SA/136226_ EDD4 Earea Dam.zip
SA,DAV 9,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/191069,-26.09894,129.1347091,0,88,6/23/2022 4:53:46 AM,https://nvclstore.z8.web.core.windows.net/SA/191069_DAV_9.zip
