BoreholeURI,x,y,BoreholeName,State,Length,TsgLink
http://geossdi.dmp.wa.gov.au/resource/feature/gswa/borehole/MNDD0003,118.366333,-28.39917979,MNDD0003,wa,574.8,
http://geossdi.dmp.wa.gov.au/resource/feature/gswa/borehole/MNDD0003,118.366333,-28.39917979,MNDD0003,wa,574.8,
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/185585,135.4436064,-29.4384982,CD93 5,sa,131.0,https://nvclstore.z8.web.core.windows.net/SA/185585_CD93_5.zip
http://geossdi.dmp.wa.gov.au/resource/feature/gswa/borehole/SC098D1,116.9356484,-28.74711294,SC098D1,wa,648.5,
http://geossdi.dmp.wa.gov.au/resource/feature/gswa/borehole/MNDD0001,118.3580245,-28.39036386,MNDD0001,wa,610.4,https://nvclstore.z8.web.core.windows.net/WA/MNDD0001.zip
http://geossdi.dmp.wa.gov.au/resource/feature/gswa/borehole/MNDD0001,118.3580245,-28.39036386,MNDD0001,wa,610.4,https://nvclstore.z8.web.core.windows.net/WA/MNDD0001.zip
https://gs.geoscience.nsw.gov.au/resource/feature/gsnsw/borehole/MIN_258408,147.4085035,-33.63105444,Cowal: 1535DD348,nsw,741.9,https://nvclstore.z8.web.core.windows.net/NSW/1535DD348.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/210004,135.8134303,-29.4293162,WC05D001,sa,849.7,https://nvclstore.z8.web.core.windows.net/SA/210004_WC5D1.zip
https://geology.information.qld.gov.au/resource/feature/gsq/borehole/1984,138.086197,-22.16077201,BRADLEY 1,qld,400.4,
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/131076,131.5313745,-30.8185621,WS-WB,sa,100.5,https://nvclstore.z8.web.core.windows.net/SA/131076_WS-WB.zip
http://geossdi.dmp.wa.gov.au/resource/feature/gswa/borehole/SHD001A,118.5165553,-25.25277413,SHD001A,wa,1388.5,https://nvclstore.z8.web.core.windows.net/WA/SHD001A.zip
http://geossdi.dmp.wa.gov.au/resource/feature/gswa/borehole/DD84BMW1,117.696216,-23.0231,DD84BMW1,wa,2655.4,https://nvclstore.z8.web.core.windows.net/WA/DD84BMW1.zip
http://geossdi.dmp.wa.gov.au/resource/feature/gswa/borehole/PLRCD001,122.9028441,-32.22916948,PLRCD001,wa,230.2,https://nvclstore.z8.web.core.windows.net/WA/PLRCD001.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/134167,135.0547965,-29.1670962,DD89LR 21,sa,275.5,
http://geossdi.dmp.wa.gov.au/resource/feature/gswa/borehole/YAD0019,116.2735,-31.0933,YAD0019,wa,1199.1,https://nvclstore.z8.web.core.windows.net/WA/YAD0019.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/186166,134.6722275,-30.8129011,TARDD 93,sa,128.5,https://nvclstore.z8.web.core.windows.net/SA/186166_TAR_DD93.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/23633,137.6688803,-33.9774903,DDH 114,sa,747.64,https://nvclstore.z8.web.core.windows.net/SA/23633_Doora_DH114.zip
http://www.mrt.tas.gov.au/resource/feature/mrt/borehole/10350,145.3207013,-41.69823623,ML048,tas,339.5,https://nvclstore.z8.web.core.windows.net/Tas/10350_ML48_Mt_Lindsay.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/192444,136.4177649,-32.6561143,MENNINNIE DAM MD 31,sa,644.8,https://nvclstore.z8.web.core.windows.net/SA/192444_MD31.zip
http://geossdi.dmp.wa.gov.au/resource/feature/gswa/borehole/TMD001,127.6666233,-25.77941972,TMD001,wa,411.6,
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/134164,135.0445105,-29.1637152,DD88LR 20,sa,292.0,
http://www.mrt.tas.gov.au/resource/feature/mrt/borehole/6200,145.2552389,-40.8151763,Forest-1,tas,1076.0,https://nvclstore.z8.web.core.windows.net/Tas/6200_Forest-1_Stanley.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/141773,135.3935184,-29.6710892,DD86EN 25,sa,367.5,https://nvclstore.z8.web.core.windows.net/SA/141773_DD86EN25.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/185584,135.4465234,-29.4359792,CD93 4,sa,186.0,https://nvclstore.z8.web.core.windows.net/SA/185584_CD94_4.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/231063,137.0770318,-30.2474823,PH-DD05MS003,sa,891.2,https://nvclstore.z8.web.core.windows.net/SA/231063_PHDD05MS003.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/141776,135.3774384,-29.6546202,DD87EN 40,sa,314.47,https://nvclstore.z8.web.core.windows.net/SA/141776_DD87EN40.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/186165,134.6721805,-30.8143901,TARDD 92,sa,200.5,https://nvclstore.z8.web.core.windows.net/SA/186165_TARDD92.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/141784,135.3919634,-29.6699202,DD89EN 60,sa,344.8,https://nvclstore.z8.web.core.windows.net/SA/141784_ DD89EN60.zip
http://geossdi.dmp.wa.gov.au/resource/feature/gswa/borehole/SDH09-1,127.9776774,-16.38919844,SDH09-1,wa,576.8,https://nvclstore.z8.web.core.windows.net/WA/SDH09-1.zip
http://geology.data.nt.gov.au/resource/feature/ntgs/borehole/7963300_SLX001,134.85558,-23.12586,SLX001,nt,500.7,https://nvclstore.z8.web.core.windows.net/NT/7963300_SLX001.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/175318,136.4813618,-32.7759803,98WDDH 4,sa,172.0,https://nvclstore.z8.web.core.windows.net/SA/175318_98WDDH4.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/214563,135.684827,-33.8598352,BLDD01,sa,234.3,https://nvclstore.z8.web.core.windows.net/SA/214563_BLDD01.zip
http://geossdi.dmp.wa.gov.au/resource/feature/gswa/borehole/UG340,121.091093,-31.125224,UG340,wa,185.7,https://nvclstore.z8.web.core.windows.net/WA/UG340.zip
http://geossdi.dmp.wa.gov.au/resource/feature/gswa/borehole/GPD1464,120.073351,-31.219102,GPD1464,wa,109.3,
https://geology.information.qld.gov.au/resource/feature/gsq/borehole/71374,151.758018,-25.27510402,MOUNT RAWDON MRCD 0145,qld,,
https://gs.geoscience.nsw.gov.au/resource/feature/gsnsw/borehole/MIN_003420,145.1949843,-30.80257064,Louth: L1,nsw,623.9,https://nvclstore.z8.web.core.windows.net/NSW/L1.zip
https://geology.information.qld.gov.au/resource/feature/gsq/borehole/80074,140.022061,-20.80095501,MKED023,qld,,
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/165608,137.1598378,-31.0999513,SAE 5,sa,914.4,https://nvclstore.z8.web.core.windows.net/SA/165608 EB SAE5.zip
https://geology.information.qld.gov.au/resource/feature/gsq/borehole/71754,140.922849,-21.86274801,CANNINGTON CUD 5198,qld,,
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/239892,137.5938956,-30.7826093,TD6,sa,1154.3,https://nvclstore.z8.web.core.windows.net/SA/239892_TD6.zip
https://gs.geoscience.nsw.gov.au/resource/feature/gsnsw/borehole/MIN_043908,141.6143274,-30.0857833,Koonenberry - Mount Arrowsmith Cu Ag: DH 119115,nsw,132.0,https://nvclstore.z8.web.core.windows.net/NSW/DH 119115.zip
https://geology.information.qld.gov.au/resource/feature/gsq/borehole/3091,138.460983,-22.85627802,TODD 1,qld,881.0,
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/141747,135.3940214,-29.6676592,DD86EN 24,sa,226.1,https://nvclstore.z8.web.core.windows.net/SA/141747_DD86EN24.zip
http://geossdi.dmp.wa.gov.au/resource/feature/gswa/borehole/PC2,123.259076,-30.544111,PC2,wa,306.5,https://nvclstore.z8.web.core.windows.net/WA/PC2.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/141767,135.4400104,-29.6684162,RD/DD85EN 18,sa,295.0,https://nvclstore.z8.web.core.windows.net/SA/141767_DD85EN_18.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/210919,140.2443296,-32.6389935,BRDD001,sa,300.3,https://nvclstore.z8.web.core.windows.net/SA/210919_BRD001.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/134163,135.0445105,-29.1623632,DD88LR 19,sa,240.45,
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/192454,136.4188649,-32.6528823,MENNINNIE DAM MD 19,sa,526.5,https://nvclstore.z8.web.core.windows.net/SA/192454_MD19.zip

